DATE,Median_CA,Median_CO,Median_NY,Median_TX,Median_IN
1/1/84,25287,59558,45671,53148,52561
1/1/85,26981,62895,47632,52988,50605
1/1/86,29010,59642,50116,52996,49851
1/1/87,30146,56140,51927,52419,47750
1/1/88,30287,53647,51993,51086,53808
1/1/89,33009,52560,51147,50756,50780
1/1/90,33290,57428,49864,52747,50318
1/1/91,33664,56793,49136,50003,48842
1/1/92,34903,57148,48114,49177,50192
1/1/93,34073,59182,48992,49296,50579
1/1/94,35331,63594,49241,51696,46827
1/1/95,37009,66813,48822,52588,54797
1/1/96,38812,65470,48989,52875,56193
1/1/97,39694,67658,50791,54891,60860
1/1/98,40934,71951,53901,55251,61347
1/1/99,43629,72837,54171,58491,61741
1/1/00,46816,70538,56817,56456,59754
1/1/01,47262,70231,51782,58093,57409
1/1/02,47437,67597,53222,56196,57453
1/1/03,49300,68349,53338,53747,58064
1/1/04,49222,67811,54017,55166,56408
1/1/05,51755,65026,55412,53391,54699
1/1/06,55319,69537,57026,54068,56690
1/1/07,55734,74228,55596,55911,57610
1/1/08,57014,71251,52444,54353,54389
1/1/09,56134,65618,53535,55699,51980
1/1/10,54283,69520,50860,54554,53253
1/1/11,53367,65601,50468,54879,49730
1/1/12,57020,62735,50480,56896,50575
1/1/13,60794,73325,52400,55503,53397
1/1/14,60487,64702,48988,57201,51027
1/1/15,63636,70585,51750,59856,55097
1/1/16,66637,73841,53551,60844,58697
1/1/17,70038,76812,54380,61557,60200
1/1/18,70489,73034,54644,59785,59892